наш, 2, 0.273
нашей, 1, 0.137
нашем, 1, 0.137
наши, 2, 0.273
нашим, 2, 0.273
наших, 1, 0.137
не, 11, 1.503
невероятными, 1, 0.137
никиту, 1, 0.137
никогда, 1, 0.137
никому, 1, 0.137
ничего, 1, 0.137
но, 2, 0.273
нового, 1, 0.137
новом, 2, 0.273
новому, 1, 0.137
новым, 1, 0.137
новых, 1, 0.137
ноябре, 1, 0.137
нужно, 1, 0.137
общий, 1, 0.137
общих, 1, 0.137
объединились, 9, 1.23
объекты, 1, 0.137
один, 1, 0.137
однажды, 1, 0.137
однако, 1, 0.137
одногруппницу, 1, 0.137
окрестина, 1, 0.137
октябре, 1, 0.137
он, 1, 0.137
особенно, 1, 0.137
оставаться, 1, 0.137
остановить, 1, 0.137
от, 5, 0.683
отдадут, 1, 0.137
отдать, 1, 0.137
отказалась, 1, 0.137
отказался, 1, 0.137
открыл, 1, 0.137
открытыми, 1, 0.137
откуда, 1, 0.137
отстоять, 1, 0.137
очередях, 1, 0.137
паспорт, 1, 0.137
пенсионерка, 1, 0.137
первым, 1, 0.137
перемен, 1, 0.137
перемены, 1, 0.137
переполненной, 1, 0.137
перестали, 1, 0.137
писали, 1, 0.137
плакали, 1, 0.137
по, 1, 0.137
поверили, 1, 0.137
поврежденные, 1, 0.137
под, 1, 0.137
подарил, 1, 0.137
поддержку, 1, 0.137
подписи, 1, 0.137
подъездов, 1, 0.137
поздравляю, 1, 0.137
политзаключенного, 1, 0.137
политзаключенный, 1, 0.137
помочь, 1, 0.137
помощь, 1, 0.137
пор, 1, 0.137
порванный, 1, 0.137
посвятил, 1, 0.137
после, 1, 0.137
поставить, 1, 0.137
пострадавшим, 1, 0.137
потерять, 1, 0.137
потому, 3, 0.41
почтить, 1, 0.137
почувствовали, 1, 0.137
почувствовать, 1, 0.137
православный, 1, 0.137
преступный, 1, 0.137
приказ, 1, 0.137
присоединился, 1, 0.137
про, 1, 0.137
программист, 1, 0.137
проспектах, 1, 0.137
протестов, 1, 0.137
протестующих, 1, 0.137
путь, 1, 0.137
р, 1, 0.137
работает, 1, 0.137
работу, 1, 0.137
рабочего, 1, 0.137
радости, 1, 0.137
раз, 1, 0.137
разбить, 1, 0.137
раненных, 1, 0.137
распространяет, 1, 0.137
революции, 1, 0.137
ремонтирует, 1, 0.137
репрессий, 1, 0.137
рискуя, 1, 0.137
родные, 1, 0.137
родным, 1, 0.137
романа, 1, 0.137
с, 5, 0.683
сам, 1, 0.137
сами, 1, 0.137
сво, 1, 0.137
свободной, 1, 0.137
свободы, 2, 0.273
своей, 2, 0.273
своих, 2, 0.273
свой, 3, 0.41
сдержать, 1, 0.137
себе, 2, 0.273
себя, 1, 0.137
сегодня, 1, 0.137
сейчас, 2, 0.273
сентябре, 1, 0.137
сердцам, 1, 0.137
сердце, 1, 0.137
сил, 1, 0.137
сильнее, 1, 0.137
сих, 1, 0.137
сказано, 1, 0.137
сколько, 1, 0.137
сложным, 1, 0.137
смотрит, 1, 0.137
со, 1, 0.137
согласия, 1, 0.137
согласно, 1, 0.137
сомневается, 1, 0.137
сосед, 1, 0.137
сотни, 1, 0.137
спасает, 1, 0.137
спишут, 1, 0.137
спокойствия, 1, 0.137
спортсменка, 1, 0.137
способ, 1, 0.137
срывал, 1, 0.137
стал, 2, 0.273
стачке, 1, 0.137
стенах, 1, 0.137
стране, 1, 0.137
страну, 1, 0.137
страны, 1, 0.137
страху, 1, 0.137
студент, 1, 0.137
сумке, 1, 0.137
т, 20, 2.732
так, 2, 0.273
также, 2, 0.273
такими, 1, 0.137
там, 1, 0.137
тарайковского, 1, 0.137
те, 1, 0.137
тех, 4, 0.546
того, 1, 0.137
требовать, 1, 0.137
трудности, 1, 0.137
тысяч, 1, 0.137
тысячи, 1, 0.137
у, 1, 0.137
уважения, 1, 0.137
увидел, 1, 0.137
увидели, 2, 0.273
уезжать, 1, 0.137
уехал, 1, 0.137
уже, 4, 0.546
узнал, 1, 0.137
узнали, 1, 0.137
украшает, 1, 0.137
улиц, 1, 0.137
улицах, 1, 0.137
университетах, 1, 0.137
учительница, 1, 0.137
флагами, 1, 0.137
хватает, 1, 0.137
хлопотное, 1, 0.137
хозяева, 1, 0.137
хотели, 1, 0.137
хоть, 1, 0.137
хочет, 3, 0.41
хочется, 2, 0.273
художник, 1, 0.137
ценят, 1, 0.137
человеку, 1, 0.137
чести, 1, 0.137
честных, 1, 0.137
что, 8, 1.093
чтобы, 13, 1.776
шахтер, 1, 0.137
шишмакова, 1, 0.137
шутова, 1, 0.137
этапу, 1, 0.137
этим, 1, 0.137
это, 12, 1.639
этом, 1, 0.137
я, 2, 0.273
